-गत,00011706,
-ग्रस्त,00003370,
-ज,00008850,
-जन्य,00008850,
-निर्मित,00008850,
-मान्य,00002007,
1000000,00030455,
100000000,00031074,
100000000000,00012255,
1000000000000,00034155,
107,00034145,
150,00034137,
160,00034178,
190,00028149,
200,00034144,
22वा,00003873,
250,00034192,
29,00008563,
300,00028150,
36,00013779,
400,00034143,
47,00010837,
500,00034148,
5000000,00031032,
58,00015093,
60,00002254,
68,00015138,
700,00034147,
77,00015747,
79,00015751,
98,00015094,
अँडोराचा,00019474,
अंकित,00002775,00007449,
अंकी,00037282,
अंकुरित,00003577,00014150,
अंगज,00004336,
अंगठेबहाद्दर,00002517,
अंगर,00003745,
अंगहीन,00001990,
अंगी,00031602,
अंगीकृत,00002004,
अंगोलन,00020026,
अंघोळीचा,00013802,
अंघोळीजोगा,00013802,
अंडज,00002062,
अंडाकार,00002069,
अंडाकृती,00002069,
अंतःस्थ,00002098,00002493,
अंतःस्थित,00002098,
अंतरराज्य,00000873,
अंतरवासी,00002139,
अंतरावरचा,00000869,
अंतरावरील,00000869,
अंतरित,00014279,
अंतरिम,00010413,
अंतर्गत,00002098,00010810,
अंतर्ज्ञानी,00035767,
अंतर्देशीय,00000874,
अंतर्निष्ठ,00010371,
अंतर्निहित,00010371,
अंतर्बाह्य,00054013,
अंतर्भूत,00001982,
अंतर्मुख,00002289,
अंतर्मुखी,00002289,
अंतर्यामी,00002126,
अंतर्वक्र,00012154,
अंतर्वासी,00002139,
अंतस्थ,00002493,
अंताला_पोचलेला,00013471,
अंतिम,00002079,00013471,
अंतीचा,00013471,
अंतेवासी,00002140,
अंत्य,00002079,00013471,
अंदमानी,00033576,
अंदाजपत्रकीय,00020816,
अंदाजिक,00032974,
अंदाजित,00010732,
अंदाजी,00015060,
अंध,00002160,00038385,
अंधकारमय,00002175,
अंधळा,00002160,
अंधविश्वासू,00002581,00019339,
अंधश्रद्ध,00002581,
अंधश्रद्धाळू,00019339,
अंधारमय,00002175,
अंधारा,00002175,
अंधूक,00007489,
अंबट,00004601,
अंबटढाण,00022249,
अंबटढुस्स,00022249,
अंबटवाणा,00022249,
अंशकालीक,00008472,
अंशविषयक,00016073,
अंशाविषयीचा,00016073,
अंशाशी_संबंधित,00016073,
अंशासंबंधी,00016073,
अंशासंबंधीचा,00016073,
अकंपित,00014343,
अकडू,00008476,
अकथनीय,00002220,
अकथित,00015985,
अकपटी,00029317,
अकबरी,00014366,
अकरणीय,00014259,
अकरमाशा,00005592,
अकरमाशी,00005592,
अकरा,00008741,
अकरावा,00012964,
